id,name__sr,name__fr,name__el,name__en,name__de,name__sh,name__nl,name,wikipedia__commons,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,gender,birth_date,given_name,original_wikiname,name__ru,name__cs,name__nb,name__da,name__nn,name__sv,wikipedia__cswikiquote,wikipedia__de,wikipedia__ru,identifier__MusicBrainz,family_name,name__ja,name__es,name__it,wikipedia__es,wikipedia__it,wikipedia__ja,identifier__freebase,name__pl,name__ie,name__hr,name__uk,wikipedia__cs,wikipedia__hr,wikipedia__ie,wikipedia__pl,wikipedia__uk,identifier__ISNI,identifier__VIAF,identifier__LCAuth,name__hu,name__ca,name__sr_ec,name__sr_el,name__en_ca,name__en_gb,name__bs,name__de_ch,name__lb,name__tr,name__lmo,name__la,name__sl,name__et,name__he,name__fi,name__vi,name__ka,name__gl,name__zh,wikipedia__bs,wikipedia__bswikiquote,wikipedia__ca,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__itwikiquote,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__slwikiquote,wikipedia__srwikiquote,wikipedia__tr,wikipedia__vi,wikipedia__zh,wikipedia__sv,name__mk,wikipedia__mk,name__ro,death_date,identifier__BNF,name__mg,wikipedia__mg,wikipedia__ro,identifier__GND,identifier__SUDOC,name__sq,wikipedia__sq,name__bg,name__io,name__be,name__oc,wikipedia__bg,wikipedia__da,wikipedia__io,name__cy,wikipedia__sl,website,identifier__NKC,identifier__NTA,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__id,name__ar,name__pt,name__sk,name__hy,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__hy,wikipedia__id,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__sk,identifier__FIFA,wikipedia__be,twitter,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__rm,identifier__Munzinger,identifier__Britannica,facebook,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__CSFD,last_seen,identifier__DNF,identifier__SCOPE,identifier__kinopoisk,identifier__filmportal_de,wikipedia__ruwikinews,identifier__PACE,identifier__FAST,name__pt_br,wikipedia__enwikiquote,identifier__NLA,identifier__OLID,identifier__BAV,identifier__NUKAT,name__jv,name__hsb,name__mr,name__lt,name__tl,name__xmf,name__dsb,name__eo,wikipedia__dsb,wikipedia__hsb,wikipedia__jv,wikipedia__lt,wikipedia__mr,wikipedia__tl,wikipedia__xmf,name__za,name__yo,name__ms,name__ml,name__se,name__kk,name__be_tarask,name__lv,name__yue,wikipedia__be_x_old,wikipedia__eo,wikipedia__kk,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__se,wikipedia__yo,wikipedia__za,wikipedia__zh_yue
Q13430716,Сузана Грубјешић,Suzana Grubješić,,Suzana Grubješić,Suzana Grubješić,,Suzana Grubješić,Suzana Grubješić,Category:Suzana Grubješić,,Suzana Grubješić,Suzana Grubješić,,Сузана Грубјешић,https://upload.wikimedia.org/wikipedia/commons/6/63/Suzana_Grubjesic_(cropped).jpg,female,1963-07-29,Suzana,Сузана Грубјешић,,,,,,,,,,,,,,,,,,,Suzana Grubješić,,,,,,,Suzana Grubješić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13567033,Невена Карановић,,,Nevena Karanović,,,,Nevena Karanović,,,Nevena Karanović,,,Невена Карановић,,female,1961-04-18,Nevena,Невена Карановић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1566294,Лидија Вукићевић,Lidija Vukićević,,Lidija Vukićević,,Lidija Vukićević,Lidija Vukićević,Lidija Vukićević,,,Lidija Vukićević,,Lidija Vukićević,Лидија Вукићевић,https://upload.wikimedia.org/wikipedia/commons/7/77/Lidija_Vukićević.jpg,female,1962-07-20,Lidija,Лидија Вукићевић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lidija Vukićević,,Лидија Вукићевић,Lidija Vukićević,Lidija Vukićević,Lidija Vukićević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лидија Вукићевић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm0904345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q157131,Зоран Ђинђић,Zoran Đinđić,Ζόραν Τζίντζιτς,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Category:Zoran Đinđić,Ζόραν Τζίντζιτς,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Зоран Ђинђић,https://upload.wikimedia.org/wikipedia/commons/2/28/Zoran_Đinđić_Crop.jpg,male,1952-08-01,Zoran,Зоран Ђинђић,"Джинджич, Зоран",Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,,Zoran Đinđić,"Джинджич, Зоран",,,ゾラン・ジンジッチ,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,ゾラン・ジンジッチ,/m/01br1k,Zoran Đinđić,,Zoran Đinđić,Зоран Джинджич,Zoran Đinđić,Zoran Đinđić,,Zoran Đinđić,Зоран Джинджич,0000 0001 2133 8025,54985293,n85065764,Zoran Đinđić,Zoran Djindjic,Зоран Ђинђић,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,,,Zoran Đinđić,Zoran Đinđić,זוראן ג'ינג'יץ',Zoran Đinđić,Zoran Đinđić,ზორან ჯინჯიჩი,Zoran Đinđić,佐兰·金吉奇,Zoran Đinđić,Zoran Đinđić,Zoran Djindjic,Zoran Đinđić,Zoran Đinđić,,זוראן ג'ינג'יץ',Zoran Đinđić,,ზორან ჯინჯიჩი,,Zoran Đinđić,,Zoran Đinđić,Zoran Đinđić,,,Зоран Ђинђић,Zoran Đinđić,Zoran Đinđić,佐兰·金吉奇,Zoran Đinđić,,,Zoran Đinđić,2003-03-12,145275889,,,Zoran Đinđić,120695987,083000852,Zoran Đinđić,Zoran Gjingjiq,Зоран Джинджич,,,,Зоран Джинджич,Zoran Đinđić,,Zoran Đinđić,Zoran Đinđić,http://www.zorandjindjic.org/,jx20060117119,243411553,nm1389138,佐兰·金吉奇,佐蘭·金吉奇,佐蘭·金吉奇,佐兰·金吉奇,佐兰·金吉奇,佐蘭·金吉奇,조란 진지치,Zoran Đinđić,زوران جينجيتش,Zoran Đinđić,Zoran Djindjić,,زوران جینجیچ,زوران جينجيتش,زوران جینجیچ,,Zoran Đinđić,조란 진지치,Zoran Đinđić,,Zoran Djindjić,,,,,,,,00000022024,biography/Zoran-Djindjic,,,,,,,,,,,,,1466881,Zoran Đinđić,Zoran Đinđić,36591295,OL414228A,,n2005081821,Zoran Đinđić,Zoran Đinđić,झोरान डिंडिक,Zoranas Džindžičius,Zoran Ðinđić,ზორან დინდიჩი,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoran Đinđić,Zoranas Džindžičius,झोरान डिंडिक,Zoran Ðinđić,ზორან დინდიჩი,,,,,,,,,,,,,,,,,,,
Q16082744,Александар Антић,Aleksandar Antić,Αλεξάνταρ Άντιτς,Aleksandar Antić,Aleksandar Antić,Aleksandar Antić,Aleksandar Antić,Aleksandar Antić,Category:Aleksandar Antić,Αλεξάνταρ Άντιτς,Aleksandar Antić,Aleksandar Antić,Aleksandar Antić,Александар Антић,https://upload.wikimedia.org/wikipedia/commons/c/c2/Aleksandar_Antić.jpg,male,1969-05-07,Aleksandar,Aleksandar Antić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16085040,Михаило Илић,,,,,,,Михаило Илић,,,,,,Михаило Илић (лекар),,male,1856,,Михаило Илић (лекар),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16085164,Никола Тулимировић,,,,,Nikola Tulimirović,,Никола Тулимировић,,,,,Nikola Tulimirović,Никола Тулимировић,,male,1981-10-22,,Никола Тулимировић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16442061,,Dragan Aleksić,,Dragan Aleksić,Dragan Aleksić,,Dragan Aleksić,Dragan Aleksić,,,Dragan Aleksić (politician),,,,,male,1963,Dragan,Dragan Aleksić (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16760910,Снежана Богосављевић Бошковић,Snežana Bogosavljević Bošković,,Snežana Bogosavljević Bošković,,Snežana Bogosavljević Bošković,Snezjana Bogosavljević Bošković,Snežana Bogosavljević Bošković,,,,Snežana Bogosavljević Bošković,Snežana Bogosavljević Bošković,Снежана Богосављевић Бошковић,https://upload.wikimedia.org/wikipedia/commons/a/ab/Snežana_Bogosavljević_Bošković_Crop.jpg,female,1964-01-26,Snežana,Снежана Богосављевић Бошковић,,,,,,,,,,,,,,,,,,,Snežana Bogosavljević Bošković,,,,,,,Snežana Bogosavljević Bošković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16868185,,Miodrag Rakić,,Miodrag Rakić,Miodrag Rakić,,Miodrag Rakić,Miodrag Rakić,,,Miodrag Rakić,,,,,male,1975-01-31,Miodrag,Miodrag Rakić,,,,,,,,,,,,,,,,,,,Miodrag Rakić,,,,,,,Miodrag Rakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-13,,,,,,,,,,,,,,,,Miodrag Rakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17388477,,Jadranka Joksimović,,Jadranka Joksimović,,,,Jadranka Joksimović,Category:Jadranka Joksimović,,Jadranka Joksimović,,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Jadranka_Joksimovic-MC.jpg,female,1978-01-26,Jadranka,Jadranka Joksimović,,,,,,,,,,,,,,,,,,,Jadranka Joksimović,,,Ядранка Йоксимович,,,,Jadranka Joksimović,Ядранка Йоксимович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18921956,,,,Aleksandar Jablanović,,,,Aleksandar Jablanović,,,Aleksandar Jablanović,,,,,male,1980-09-25,Aleksandar,Aleksandar Jablanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20437420,Павле Маринковић,,,,,,,Павле Маринковић,,,,,,Павле Маринковић,,male,,,Павле Маринковић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21485032,Милија Милетић,,,Milija Miletić,,Milija Miletić,,Milija Miletić,,,,,Milija Miletić,Милија Милетић,,male,1968-10-24,,Милија Милетић,,,,,,,,,,,,,,,,,,,Milija Miletić,,,,,,,Milija Miletić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q222031,Александар Вучић,Aleksandar Vučić,Αλεξάνταρ Βούτσιτς,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,,Αλεξάνταρ Βούτσιτς,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Александар Вучић,https://upload.wikimedia.org/wikipedia/commons/b/be/Aleksandar_Vučić_crop.jpg,male,1970-03-05,Aleksandar,Aleksandar Vučić,"Вучич, Александр",Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,,Aleksandar Vučić,"Вучич, Александр",,Vučić,アレクサンダル・ヴチッチ,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,,/m/03c2h_t,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Александар Вучич,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Александар Вучич,,,,Aleksandar Vučić,Aleksandar Vučić,Александар Вучић,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Alexander Vučić,Aleksandar Vučić,Aleksandar Vučić,אלכסנדר ווצ'יץ',Aleksandar Vučić,Aleksandar Vučić,ალექსანდარ ვუჩიჩი,Aleksandar Vučić,亞歷山大·武契奇,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,אלכסנדר ווצ'יץ',Aleksandar Vučić,Aleksandar Vučić,ალექსანდარ ვუჩიჩი,Alexander Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Aleksandar Vučić,Александар Вучић,Aleksandar Vučić,Aleksandar Vučić,亞歷山大·武契奇,Aleksandar Vučić,,,,,,,,,,,Aleksandar Vučić,Aleksandar Vuçiq,,,,,,,,,,,,,,,,,,,,,Aleksandar Vučić,,,,,,,,,Aleksandar Vučić,,,,,,,avucic,,,,,,biography/Aleksandar-Vucic,vucicaleksandar,,,,,,,,,,Категория:Александр Вучич,5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q226696,Зоран Живковић,Zoran Živković,,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković,Category:Zoran Živković,,Zoran Živković (politician),Zoran Živković (homme politique),Zoran Živković (političar),Зоран Живковић (политичар),https://upload.wikimedia.org/wikipedia/commons/5/53/Zoran_Živković.jpg,male,1960-12-22,Zoran,Zoran Živković (politician),,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković (Politiker),,,Živković,,Zoran Živković,Zoran Živković,Zoran Živković,Zoran Živković (politico),,/m/0477dv,Zoran Živković,,Zoran Živković,Зоран Живкович,,Zoran Živković,,Zoran Živković (polityk),Зоран Живкович,,,,Zoran Živković,Zoran Živković,Зоран Живковић,Zoran Živković,,,Zoran Živković,,,,,,,Zoran Živković,זוראן ז'יווקוביץ',,,,,佐兰·日夫科维奇,Zoran Živković,,Zoran Živković,Zoran Živković,,,זוראן ז'יווקוביץ',,,,,,,,,,,,,,佐兰·日夫科维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000024478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q257211,Мирјана Марковић,Mirjana Marković,,Mirjana Marković,Mirjana Marković,Mirjana Marković,Mirjana Marković,Mirjana Marković,,,Mirjana Marković,Mirjana Marković,Mirjana Marković,Мирјана Марковић,,female,1942-07-10,Mirjana,Мирјана Марковић,"Маркович, Мириана",,Mirjana Marković,Mirjana Marković,,Mirjana Marković,,Mirjana Marković,"Маркович, Мириана",,Marković,ミリャナ・マルコヴィッチ,Mirjana Marković,,,,ミリャナ・マルコヴィッチ,/m/02_fpl,Mirjana Marković,,Mirjana Marković,,,Mirjana Marković,,Mirjana Marković,,,98034765,no96037180,,,Мирјана Марковић,Mirjana Marković,Mirjana Marković,Mirjana Marković,,Mirjana Marković,,,,,,,,,,,,,,,,,,,,,,,,,,Mirjana Marković,,Mirjana Marković,,Мирјана Марковић,,,,Mirjana Marković,,,,,145103280,,,,119543621,112801625,,,Миряна Маркович,,,,Миряна Маркович,Mirjana Marković,,,,,,238554503,nm1269364,,米爾雅娜·馬爾科維奇,,米尔雅娜·马尔科维奇,,,,,,Mirjana Marković,,,,,,,,,Mirjana Marković,,,,,,,,,,,,,,,,,,,,,,,,378078,Mirjana Marković,Mirjana Markovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2714911,Наташа Мићић,Nataša Mićić,,Nataša Mićić,Nataša Mićić,,Nataša Mićić,Nataša Mićić,,,Nataša Mićić,Nataša Mićić,,Наташа Мићић,,female,1965-11-02,Nataša,Наташа Мићић,,,Nataša Mićić,Nataša Mićić,Nataša Mićić,Nataša Mićić,,,,,,ナターシャ・ミチッチ,Nataša Mićić,Nataša Mićić,,Nataša Mićić,,/m/01btnt,Nataša Mićić,,Nataša Mićić,,,Nataša Mićić,,Nataša Mićić,,,,,Nataša Mićić,,Наташа Мићић,Nataša Mićić,Nataša Mićić,Nataša Mićić,Nataša Mićić,,,,,,,,נטשה מיצ'יץ',,,,,娜塔莎·米契奇,,Nataša Mićić,,,,,נטשה מיצ'יץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ناتاشا ميسيتش,,,,,ناتاشا ميسيتش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2909140,Бојан Костреш,Bojan Kostreš,,Bojan Kostreš,Bojan Kostreš,,Bojan Kostreš,Bojan Kostreš,,,Bojan Kostreš,Bojan Kostreš,,Бојан Костреш,https://upload.wikimedia.org/wikipedia/commons/6/62/Bojan_Kostreš_Crop.jpg,male,1974-08-25,Bojan,Bojan Kostreš,,,Bojan Kostreš,Bojan Kostreš,Bojan Kostreš,Bojan Kostreš,,,,,,,,,,,,/m/0dndk2,Bojan Kostreš,,Bojan Kostreš,,,Bojan Kostreš,,Bojan Kostreš,,,,,,,,,,,Bojan Kostreš,,,,,,,,,,,,,,,Bojan Kostreš,,,,,,,,,,,,,,,,,,,,Bojan Kostreš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3110801,Горан Богдановић,Goran Bogdanović,,Goran Bogdanović,,,Goran Bogdanović,Goran Bogdanović,,,Goran Bogdanović (politician),Goran Bogdanović,,Горан Богдановић,https://upload.wikimedia.org/wikipedia/commons/1/12/Goran_Bogdanovic_2.jpg,male,1963-02-02,Goran,Goran Bogdanović (politician),,,,,,,,,,,,ゴラン・ボグダノヴィッチ,,,,,,,Goran Bogdanović,,,,,,,Goran Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goran Bogdanović,Goran Bogdanoviq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3314557,Милутин Мркоњић,Milutin Mrkonjić,,Milutin Mrkonjić,Milutin Mrkonjić,Milutin Mrkonjić,Milutin Mrkonjić,Milutin Mrkonjić,,,Milutin Mrkonjić,Milutin Mrkonjić,Milutin Mrkonjić,Милутин Мркоњић,https://upload.wikimedia.org/wikipedia/commons/e/ef/Milutin_Mrkonjić_Crop.jpg,male,1942-05-23,,Milutin Mrkonjić,"Мрконич, Милютин",,Milutin Mrkonjić,Milutin Mrkonjić,Milutin Mrkonjić,Milutin Mrkonjić,,,"Мрконич, Милютин",,,ミルティン・ムルコニッチ,,,,,,/m/03h13g2,Milutin Mrkonjić,,Milutin Mrkonjić,,,Milutin Mrkonjić,,Milutin Mrkonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milutin Mrkonjić,Milutin Mrkonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3376349,Петар Шкундрић,Petar Škundrić,,Petar Škundrić,Petar Škundrić,Petar Škundrić,Petar Škundrić,Petar Škundrić,,,Petar Škundrić,Petar Škundrić,Petar Škundrić,Петар Шкундрић,https://upload.wikimedia.org/wikipedia/commons/f/f8/Petar_Škundrić_Crop.JPG,male,1947-02-21,Petar,Petar Škundrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Петар Шкундрић,Petar Škundrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3443084,Жарко Обрадовић,Žarko Obradović,,Žarko Obradović,,Žarko Obradović,Zjarko Obradović,Žarko Obradović,,,Žarko Obradović,Žarko Obradović,Žarko Obradović,Жарко Обрадовић,https://upload.wikimedia.org/wikipedia/commons/6/68/Žarko_Obradović.jpg,male,1960-05-21,Žarko,Žarko Obradović,,,Žarko Obradović,Žarko Obradović,Žarko Obradović,Žarko Obradović,,,,,,,,,,,,/m/04gmwlq,Žarko Obradović,,Žarko Obradović,Жарко Обрадович,,Žarko Obradović,,Žarko Obradović,Жарко Обрадович,,,,,,Жарко Обрадовић,Žarko Obradović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3511242,Горан Кнежевић,Goran Knežević,,Goran Knežević,,,Goran Knezjević,Goran Knežević,,,Goran Knežević,Goran Knežević,,Горан Кнежевић,,male,1957-05-12,Goran,Goran Knežević,,,Goran Knežević,Goran Knežević,Goran Knežević,Goran Knežević,,,,,,,,,,,,/m/03c9jxg,Goran Knežević,,Goran Knežević,,,Goran Knežević,,Goran Knežević,,,,,,,Горан Кнежевић,Goran Knežević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q385312,Срђан Драгојевић,Srđan Dragojević,,Srđan Dragojević,Srđan Dragojević,Srđan Dragojević,Srđan Dragojević,Srđan Dragojević,,,Srđan Dragojević,Srđan Dragojević,Srđan Dragojević,Срђан Драгојевић,https://upload.wikimedia.org/wikipedia/commons/1/10/SRDJAN_DRAGOJEVIC-PHOTO1.jpg,male,1963-01-01,Srđan,Srđan Dragojević,,,,Srdjan Dragojevic,,Srđan Dragojević,,,,,,,Srđan Dragojević,Srđan Dragojević,Srđan Dragojević,Srđan Dragojević,,/m/07yzyc,Srđan Dragojević,,,,,,,Srđan Dragojević,,0000 0001 1759 3656,39787561,,Srđan Dragojević,,Срђан Драгојевић,Srđan Dragojević,,,Srđan Dragojević,,,Srđan Dragojević,,,,,,,,,,,,Srđan Dragojević,,,,,,,,,,,,,,,,Срђан Драгојевић,Srđan Dragojević,,,Srđan Dragojević,,,,,,Srđan Dragojević,Srđan Dragojević,,,132171902,,,,,,,,,,,,,,,nm0236729,,,,,,,,,,,,,,,,,,,,,,,,,16322,p189621,257627,,,,,12099,202792,1392,33225,,187636,40554,73885,a5792c77e4a149628485dfd7a086cff8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4442477,Небојша Стефановић,Nebojša Stefanović,,Nebojša Stefanović,Nebojša Stefanović,Nebojša Stefanović,Nebojša Stefanović,Nebojša Stefanović,Category:Nebojša Stefanović,,Nebojša Stefanović,Nebojša Stefanović,Nebojša Stefanović,Небојша Стефановић,https://upload.wikimedia.org/wikipedia/commons/b/b0/Nebojša_Stefanović_Crop.jpg,male,1976-11-20,Nebojša,Небојша Стефановић,"Стефанович, Небойша",,,,,,,Nebojša Stefanović,"Стефанович, Небойша",,Stefanović,,,,,,,/m/0kfxx36,Nebojša Stefanović,,,Небойша Стефанович,,,,Nebojša Stefanović,Небойша Стефанович,,,,,,,,,,,,,,,,,Nebojša Stefanović,,,,,,内博伊沙·斯泰法诺维奇,,,,Nebojša Stefanović,,,,,,,,,,,,,,,,,内博伊沙·斯泰法诺维奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
